counter_id,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
12901492583,1.194,1.1,1.064,1.065,1.177,1.0,0.668,0.712,0.551,0.711,1.0,1.0,1.0,1.0,1.0,1.0,0.64,0.568,0.531,1.0,1.0,1.0,1.0,1.0
147963281,1.174,1.143,1.179,1.137,1.156,1.0,0.671,0.711,0.696,0.657,1.0,1.0,1.0,1.0,1.0,1.0,0.695,0.576,0.61,1.0,1.0,1.0,1.0,1.0
82668285,1.145,1.105,1.106,1.081,1.09,1.0,0.559,0.596,0.608,0.566,1.0,1.0,1.0,1.0,1.0,1.0,0.547,0.52,0.556,1.0,1.0,1.0,1.0,1.0
847937526,1.198,1.146,1.134,1.153,1.176,1.0,0.737,0.68,0.672,0.584,1.0,1.0,1.0,1.0,1.0,1.0,0.646,0.533,0.576,1.0,1.0,1.0,1.0,1.0
388276886,1.181,1.097,1.148,1.109,1.187,1.0,0.705,0.596,0.556,0.613,1.0,1.0,1.0,1.0,1.0,1.0,0.554,0.542,0.689,1.0,1.0,1.0,1.0,1.0
320981769,1.11,1.083,1.2,1.126,1.064,1.0,0.642,0.603,0.599,0.662,1.0,1.0,1.0,1.0,1.0,1.0,0.553,0.617,0.68,1.0,1.0,1.0,1.0,1.0
256619924,1.199,1.129,1.196,1.179,1.052,1.0,0.559,0.572,0.675,0.708,1.0,1.0,1.0,1.0,1.0,1.0,0.584,0.513,0.576,1.0,1.0,1.0,1.0,1.0
105814816,1.118,1.193,1.181,1.09,1.125,1.0,0.694,0.686,0.657,0.603,1.0,1.0,1.0,1.0,1.0,1.0,0.628,0.522,0.587,1.0,1.0,1.0,1.0,1.0
6988544531,1.164,1.131,1.167,1.13,1.05,1.0,0.586,0.733,0.724,0.61,1.0,1.0,1.0,1.0,1.0,1.0,0.628,0.622,0.531,1.0,1.0,1.0,1.0,1.0
90214098,1.182,1.192,1.063,1.123,1.06,1.0,0.615,0.554,0.736,0.726,1.0,1.0,1.0,1.0,1.0,1.0,0.666,0.562,0.512,1.0,1.0,1.0,1.0,1.0
11253757267,1.113,1.082,1.131,1.159,1.08,1.0,0.702,0.703,0.576,0.645,1.0,1.0,1.0,1.0,1.0,1.0,0.61,0.553,0.674,1.0,1.0,1.0,1.0,1.0
6190850825,1.101,1.138,1.085,1.083,1.061,1.0,0.612,0.749,0.68,0.638,1.0,1.0,1.0,1.0,1.0,1.0,0.604,0.524,0.545,1.0,1.0,1.0,1.0,1.0
82903274,1.082,1.07,1.19,1.136,1.121,1.0,0.676,0.596,0.731,0.722,1.0,1.0,1.0,1.0,1.0,1.0,0.514,0.548,0.634,1.0,1.0,1.0,1.0,1.0
82703794,1.159,1.151,1.198,1.065,1.11,1.0,0.707,0.711,0.588,0.569,1.0,1.0,1.0,1.0,1.0,1.0,0.586,0.585,0.593,1.0,1.0,1.0,1.0,1.0
93731379,1.087,1.188,1.116,1.179,1.133,1.0,0.618,0.722,0.6,0.588,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.584,0.556,1.0,1.0,1.0,1.0,1.0
320044172,1.123,1.082,1.11,1.059,1.107,1.0,0.56,0.75,0.717,0.744,1.0,1.0,1.0,1.0,1.0,1.0,0.685,0.67,0.533,1.0,1.0,1.0,1.0,1.0
386876240,1.133,1.158,1.073,1.095,1.195,1.0,0.747,0.603,0.707,0.641,1.0,1.0,1.0,1.0,1.0,1.0,0.585,0.691,0.699,1.0,1.0,1.0,1.0,1.0
6882362386,1.074,1.194,1.062,1.078,1.139,1.0,0.666,0.658,0.7,0.561,1.0,1.0,1.0,1.0,1.0,1.0,0.617,0.601,0.671,1.0,1.0,1.0,1.0,1.0
11346035713,1.113,1.138,1.128,1.19,1.081,1.0,0.685,0.597,0.574,0.728,1.0,1.0,1.0,1.0,1.0,1.0,0.549,0.619,0.624,1.0,1.0,1.0,1.0,1.0
82686004,1.061,1.119,1.2,1.199,1.061,1.0,0.693,0.598,0.629,0.684,1.0,1.0,1.0,1.0,1.0,1.0,0.56,0.563,0.65,1.0,1.0,1.0,1.0,1.0
7098591540,1.175,1.156,1.142,1.198,1.148,1.0,0.593,0.603,0.737,0.726,1.0,1.0,1.0,1.0,1.0,1.0,0.676,0.574,0.532,1.0,1.0,1.0,1.0,1.0
301954258,1.066,1.133,1.091,1.141,1.158,1.0,0.552,0.713,0.61,0.683,1.0,1.0,1.0,1.0,1.0,1.0,0.688,0.527,0.523,1.0,1.0,1.0,1.0,1.0
12908641424,1.114,1.092,1.051,1.166,1.146,1.0,0.591,0.677,0.603,0.648,1.0,1.0,1.0,1.0,1.0,1.0,0.681,0.669,0.518,1.0,1.0,1.0,1.0,1.0
6988544508,1.186,1.132,1.175,1.137,1.072,1.0,0.602,0.698,0.66,0.636,1.0,1.0,1.0,1.0,1.0,1.0,0.502,0.515,0.677,1.0,1.0,1.0,1.0,1.0
6185036192,1.087,1.065,1.167,1.183,1.111,1.0,0.575,0.612,0.73,0.709,1.0,1.0,1.0,1.0,1.0,1.0,0.672,0.68,0.542,1.0,1.0,1.0,1.0,1.0
320050383,1.054,1.16,1.1,1.19,1.17,1.0,0.674,0.581,0.736,0.723,1.0,1.0,1.0,1.0,1.0,1.0,0.695,0.662,0.676,1.0,1.0,1.0,1.0,1.0
6218659532,1.083,1.172,1.119,1.096,1.169,1.0,0.723,0.712,0.603,0.707,1.0,1.0,1.0,1.0,1.0,1.0,0.522,0.674,0.672,1.0,1.0,1.0,1.0,1.0
