u,v,length_m,speed_kmh,rank,has_traffic_light,light_delay_s,counter_zone
32271693,6212861943,27.08,36.18279569892473,residential,False,20,11346035713
32271693,6865185180,58.12,36.18279569892473,residential,False,28,11346035713
32271693,6969995208,108.11,36.18279569892473,residential,False,23,11346035713
32271695,11258115269,19.36,36.18279569892473,residential,False,28,11346035713
32271695,32271705,105.74,36.18279569892473,residential,False,22,11346035713
32271695,6974384382,103.03,36.18279569892473,residential,False,32,11346035713
32271695,1383527469,43.03,36.18279569892473,residential,False,30,11346035713
32271696,32271706,35.28,36.18279569892473,residential,False,23,11346035713
32271696,12907523381,6.24,36.18279569892473,residential,False,19,11346035713
32271696,1383522734,135.86,36.18279569892473,residential,False,13,11346035713
32271696,3842547305,95.69,36.18279569892473,residential,False,22,11346035713
32271701,32271703,79.09,36.18279569892473,residential,False,10,11346035713
32271701,2311779625,97.38,36.18279569892473,residential,False,20,11346035713
32271701,12909614314,46.0,36.18279569892473,residential,False,15,11346035713
32271703,11258115238,4.85,36.18279569892473,residential,False,35,11346035713
32271703,11961523012,33.39,36.18279569892473,residential,False,29,11346035713
32271703,32271701,79.09,36.18279569892473,residential,False,24,11346035713
32271705,12907523381,44.85,36.18279569892473,residential,False,32,11346035713
32271705,32271695,105.74,36.18279569892473,residential,False,21,11346035713
32271705,6865147056,118.12,36.18279569892473,residential,False,12,11346035713
32271706,12909576497,18.32,36.18279569892473,residential,False,23,11346035713
32271706,32271696,35.28,36.18279569892473,residential,False,13,11346035713
32271706,3842552624,105.83,36.18279569892473,residential,False,17,11346035713
33221214,88965153,307.82,36.18279569892473,residential,False,23,6185036192
33221214,88961141,845.39,60.0,primary,False,28,6185036192
33221214,88970847,454.39,60.0,primary,False,22,6185036192
33221316,147921169,46.93,60.0,primary,False,26,6185036192
33221316,147920870,422.05,36.18279569892473,residential,False,12,6185036192
33221316,88960349,36.85,60.0,primary,False,22,6185036192
33222611,6861072293,40.28,36.18279569892473,residential,False,19,90214098
33222611,1855819263,413.08,54.67289719626168,primary,False,33,90214098
33222611,3756691441,41.52,54.67289719626168,primary,False,20,90214098
